"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2021 "	"2021"	42	65623	64.0
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2021 "	"2021"	41	126050	32.5
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2021 "	"2021"	42	145052	29.0
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"2021 "	"2021"	25	53589	46.7
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2021 "	"2021"	739	4496588	16.4
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2021 "	"2021"	79	217692	36.3
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"2021 "	"2021"	49	108147	45.3
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"2021 "	"2021"	226	1052030	21.5
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"2021 "	"2021"	94	449557	20.9
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"2021 "	"2021"	78	242253	32.2
	"Arizona"	"04"	"Yuma County, AZ"	"04027"	"2021 "	"2021"	37	206990	17.9
	"California"	"06"	"Alameda County, CA"	"06001"	"2021 "	"2021"	158	1648556	9.6
	"California"	"06"	"Amador County, CA"	"06005"	"2021 "	"2021"	15	41259	Unreliable
	"California"	"06"	"Butte County, CA"	"06007"	"2021 "	"2021"	36	208309	17.3
	"California"	"06"	"Calaveras County, CA"	"06009"	"2021 "	"2021"	12	46221	Unreliable
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2021 "	"2021"	110	1161413	9.5
	"California"	"06"	"El Dorado County, CA"	"06017"	"2021 "	"2021"	44	193221	22.8
	"California"	"06"	"Fresno County, CA"	"06019"	"2021 "	"2021"	95	1013581	9.4
	"California"	"06"	"Humboldt County, CA"	"06023"	"2021 "	"2021"	28	136310	20.5
	"California"	"06"	"Imperial County, CA"	"06025"	"2021 "	"2021"	11	179851	Unreliable
	"California"	"06"	"Kern County, CA"	"06029"	"2021 "	"2021"	107	917673	11.7
	"California"	"06"	"Kings County, CA"	"06031"	"2021 "	"2021"	11	153443	Unreliable
	"California"	"06"	"Lake County, CA"	"06033"	"2021 "	"2021"	19	68766	Unreliable
	"California"	"06"	"Lassen County, CA"	"06035"	"2021 "	"2021"	13	33159	Unreliable
	"California"	"06"	"Los Angeles County, CA"	"06037"	"2021 "	"2021"	830	9829544	8.4
	"California"	"06"	"Madera County, CA"	"06039"	"2021 "	"2021"	17	159410	Unreliable
	"California"	"06"	"Marin County, CA"	"06041"	"2021 "	"2021"	31	260206	11.9
	"California"	"06"	"Mendocino County, CA"	"06045"	"2021 "	"2021"	20	91305	21.9
	"California"	"06"	"Merced County, CA"	"06047"	"2021 "	"2021"	27	286461	9.4
	"California"	"06"	"Monterey County, CA"	"06053"	"2021 "	"2021"	48	437325	11.0
	"California"	"06"	"Napa County, CA"	"06055"	"2021 "	"2021"	16	136207	Unreliable
	"California"	"06"	"Nevada County, CA"	"06057"	"2021 "	"2021"	29	103487	28.0
	"California"	"06"	"Orange County, CA"	"06059"	"2021 "	"2021"	346	3167809	10.9
	"California"	"06"	"Placer County, CA"	"06061"	"2021 "	"2021"	54	412300	13.1
	"California"	"06"	"Riverside County, CA"	"06065"	"2021 "	"2021"	291	2458395	11.8
	"California"	"06"	"Sacramento County, CA"	"06067"	"2021 "	"2021"	187	1588921	11.8
	"California"	"06"	"San Bernardino County, CA"	"06071"	"2021 "	"2021"	236	2194710	10.8
	"California"	"06"	"San Diego County, CA"	"06073"	"2021 "	"2021"	357	3286069	10.9
	"California"	"06"	"San Francisco County, CA"	"06075"	"2021 "	"2021"	76	815201	9.3
	"California"	"06"	"San Joaquin County, CA"	"06077"	"2021 "	"2021"	87	789410	11.0
	"California"	"06"	"San Luis Obispo County, CA"	"06079"	"2021 "	"2021"	54	283159	19.1
	"California"	"06"	"San Mateo County, CA"	"06081"	"2021 "	"2021"	56	737888	7.6
	"California"	"06"	"Santa Barbara County, CA"	"06083"	"2021 "	"2021"	48	446475	10.8
	"California"	"06"	"Santa Clara County, CA"	"06085"	"2021 "	"2021"	153	1885508	8.1
	"California"	"06"	"Santa Cruz County, CA"	"06087"	"2021 "	"2021"	31	267792	11.6
	"California"	"06"	"Shasta County, CA"	"06089"	"2021 "	"2021"	60	182139	32.9
