"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"2021 "	"2021"	28	65623	42.7
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"2021 "	"2021"	40	126050	31.7
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"2021 "	"2021"	41	145052	28.3
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"2021 "	"2021"	21	53589	39.2
	"Arizona"	"04"	"Graham County, AZ"	"04009"	"2021 "	"2021"	14	39050	Unreliable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"2021 "	"2021"	1697	4496588	37.7
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"2021 "	"2021"	64	217692	29.4
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"2021 "	"2021"	51	108147	47.2
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"2021 "	"2021"	473	1052030	45.0
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"2021 "	"2021"	129	449557	28.7
	"Arizona"	"04"	"Santa Cruz County, AZ"	"04023"	"2021 "	"2021"	16	47883	Unreliable
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"2021 "	"2021"	78	242253	32.2
	"Arizona"	"04"	"Yuma County, AZ"	"04027"	"2021 "	"2021"	65	206990	31.4
	"California"	"06"	"Alameda County, CA"	"06001"	"2021 "	"2021"	332	1648556	20.1
	"California"	"06"	"Amador County, CA"	"06005"	"2021 "	"2021"	11	41259	Unreliable
	"California"	"06"	"Butte County, CA"	"06007"	"2021 "	"2021"	120	208309	57.6
	"California"	"06"	"Calaveras County, CA"	"06009"	"2021 "	"2021"	12	46221	Unreliable
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2021 "	"2021"	265	1161413	22.8
	"California"	"06"	"Del Norte County, CA"	"06015"	"2021 "	"2021"	10	28100	Unreliable
	"California"	"06"	"El Dorado County, CA"	"06017"	"2021 "	"2021"	49	193221	25.4
	"California"	"06"	"Fresno County, CA"	"06019"	"2021 "	"2021"	200	1013581	19.7
	"California"	"06"	"Glenn County, CA"	"06021"	"2021 "	"2021"	12	28805	Unreliable
	"California"	"06"	"Humboldt County, CA"	"06023"	"2021 "	"2021"	59	136310	43.3
