,STNAME,CoC Code,Coc,FIPS code,CTYNAME,Year,Population,Male,Female,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or More Races,Non Hispanic,Hispanic
24,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2007,7784,4058,3726,6879,245,79,238,10,333,3847,3937
25,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2008,7863,4043,3820,6882,278,103,246,6,348,3914,3949
26,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2009,7615,4019,3596,6508,272,180,259,7,389,3771,3844
27,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2010,7384,3851,3533,6238,289,178,253,9,417,3647,3737
184,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2011,452209,227299,224910,396190,15610,9578,17550,968,12313,278703,173506
185,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2012,460568,231260,229308,402512,16117,9744,18332,1007,12856,283492,177076
186,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2013,469995,236190,233805,409363,16943,10010,19042,1041,13596,288457,181538
187,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2014,479954,241458,238496,417058,17677,10232,19777,1089,14121,293573,186381
188,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2015,490448,247076,243372,424712,18393,10749,20713,1094,14787,298253,192195
189,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2016,497735,250849,246886,429565,19128,11019,21370,1143,15510,300810,196925
190,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2017,503717,254323,249394,433189,19687,11551,22011,1189,16090,302686,201031
191,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2018,511485,258304,253181,438830,20225,11838,22895,1205,16492,305097,206388
192,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2019,516575,261156,255419,441767,21072,12353,23240,1243,16900,306195,210380
193,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2020,519883,262601,257282,443705,21390,12594,23533,1269,17392,305779,214104
440,Colorado,CO-503,Metropolitan Denver,8001,Adams County,2021,522140,265179,256961,444924,21728,12748,23655,1355,17730,303744,218396
28,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2007,7992,4174,3818,5986,1025,76,287,17,601,5341,2651
29,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2008,7814,4090,3724,5818,949,99,305,16,627,5289,2525
30,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2009,7833,3997,3836,5676,1028,108,314,21,686,5342,2491
31,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2010,7899,4030,3869,5685,1011,116,345,24,718,5424,2475
194,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2011,586433,287441,298992,464073,62386,6394,31466,1407,20707,477448,108985
195,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2012,597052,292872,304180,470688,64195,6462,32773,1401,21533,486602,110450
196,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2013,609089,299125,309964,477865,66138,6643,34375,1534,22534,495940,113149
197,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2014,619681,305010,314671,484179,68113,6733,35785,1628,23243,504005,115676
198,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2015,631688,311482,320206,490252,70157,6937,38114,1804,24424,513239,118449
199,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2016,639605,316109,323496,494093,71695,7107,39757,1915,25038,518606,120999
200,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2017,645080,319190,325890,496108,72850,7427,40947,1990,25758,521223,123857
201,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2018,652395,323088,329307,499441,74460,7603,42465,2033,26393,525694,126701
202,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2019,656051,325369,330682,500729,75482,7765,43025,2139,26911,526663,129388
203,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2020,657452,326642,330810,500026,76306,7796,43578,2196,27550,525792,131660
441,Colorado,CO-503,Metropolitan Denver,8005,Arapahoe County,2021,654900,327434,327466,496029,77041,8027,43439,2227,28137,520174,134726
32,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2007,3301,1700,1601,2991,13,16,141,1,139,2481,820
33,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2008,3132,1620,1512,2828,15,18,126,1,144,2380,752
34,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2009,3009,1550,1459,2649,26,32,124,1,177,2225,784
35,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2010,3142,1631,1511,2746,31,33,130,1,201,2335,807
204,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2011,300045,150442,149603,274047,2982,2580,13055,231,7150,259491,40554
205,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2012,304717,152818,151899,277995,3086,2547,13417,234,7438,263428,41289
206,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2013,309538,155292,154246,281713,3218,2663,13955,236,7753,267431,42107
207,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2014,312525,156892,155633,283858,3360,2648,14480,229,7950,270084,42441
208,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2015,318408,159993,158415,288526,3420,2749,15081,233,8399,274914,43494
209,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2016,321761,161758,160003,290995,3553,2751,15546,239,8677,277757,44004
210,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2017,323019,162551,160468,291683,3641,2782,15835,230,8848,278425,44594
211,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2018,325438,163779,161659,293461,3704,2856,16071,238,9108,280461,44977
212,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2019,326020,164167,161853,293627,3866,2896,16124,244,9263,280902,45118
213,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2020,327171,164664,162507,294333,3949,2927,16259,251,9452,281867,45304
442,Colorado,CO-503,Metropolitan Denver,8013,Boulder County,2021,329543,166604,162939,296250,4071,2955,16365,263,9639,283163,46380
80,New York,NY-600,New York City,36005,Bronx County,2007,21923,11092,10831,8793,11005,358,711,69,987,8560,13363
81,New York,NY-600,New York City,36005,Bronx County,2008,22267,11292,10975,9450,10560,452,745,70,990,8714,13553
82,New York,NY-600,New York City,36005,Bronx County,2009,21703,11042,10661,9643,9650,628,753,94,935,8476,13227
83,New York,NY-600,New York City,36005,Bronx County,2010,21025,10695,10330,9092,9442,717,764,95,915,8316,12709
324,New York,NY-600,New York City,36005,Bronx County,2011,1396954,655910,741044,634920,612071,41658,57728,5878,44699,641352,755602
325,New York,NY-600,New York City,36005,Bronx County,2012,1411087,662701,748386,641325,617073,42082,58782,5950,45875,640724,770363
326,New York,NY-600,New York City,36005,Bronx County,2013,1421498,668584,752914,643288,623101,42377,59630,5978,47124,640451,781047
327,New York,NY-600,New York City,36005,Bronx County,2014,1430474,672915,757559,645084,627741,42677,60712,6018,48242,640500,789974
328,New York,NY-600,New York City,36005,Bronx County,2015,1439480,677679,761801,647541,631259,42786,62234,6068,49592,640887,798593
329,New York,NY-600,New York City,36005,Bronx County,2016,1443678,680419,763259,646173,633881,43203,63585,6149,50687,639315,804363
330,New York,NY-600,New York City,36005,Bronx County,2017,1439956,678904,761052,642926,631789,43184,64721,6143,51193,635992,803964
331,New York,NY-600,New York City,36005,Bronx County,2018,1432316,675607,756709,637810,628200,42849,65440,6104,51913,629649,802667
332,New York,NY-600,New York City,36005,Bronx County,2019,1418187,669312,748875,628425,622927,42787,65794,6052,52202,621178,797009
333,New York,NY-600,New York City,36005,Bronx County,2020,1401142,660913,740229,618441,616104,42500,65520,6045,52532,610322,790820
454,New York,NY-600,New York City,36005,Bronx County,2021,1424948,675715,749233,630892,623813,43490,66999,6138,53616,620826,804122
36,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2007,705,368,337,600,7,2,59,0,37,590,115
37,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2008,612,322,290,510,4,2,60,0,36,516,96
38,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2009,616,332,284,513,6,2,54,0,41,514,102
39,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2010,703,371,332,586,7,2,60,0,48,594,109
214,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2011,57485,28484,29001,51292,700,449,3651,53,1340,51001,6484
215,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2012,58971,29290,29681,52674,714,479,3675,57,1372,52116,6855
216,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2013,60158,29774,30384,53693,747,456,3749,61,1452,53096,7062
217,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2014,61791,30554,31237,54975,808,466,3922,77,1543,54485,7306
218,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2015,64914,32185,32729,57652,906,531,4087,83,1655,57095,7819
219,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2016,66596,32985,33611,58838,957,521,4342,97,1841,58473,8123
220,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2017,68340,34008,34332,60088,1063,563,4572,99,1955,59863,8477
221,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2018,69431,34587,34844,60986,1064,563,4716,96,2006,60629,8802
222,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2019,70617,35170,35447,61928,1070,570,4839,99,2111,61611,9006
223,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2020,72236,36141,36095,63075,1189,584,5080,94,2214,62900,9336
443,Colorado,CO-503,Metropolitan Denver,8014,Broomfield County,2021,75325,37922,37403,65578,1276,626,5444,119,2282,65160,10165
76,Nevada,NV-500,Las Vegas/Clark County,32003,Clark County,2007,29115,14829,14286,21026,3455,374,1534,255,2471,16588,12527
77,Nevada,NV-500,Las Vegas/Clark County,32003,Clark County,2008,28527,14642,13885,20249,3520,302,1625,255,2576,16448,12079
78,Nevada,NV-500,Las Vegas/Clark County,32003,Clark County,2009,27696,14090,13606,19457,3333,341,1698,236,2631,15817,11879
79,Nevada,NV-500,Las Vegas/Clark County,32003,Clark County,2010,27087,13843,13244,18921,3218,353,1748,233,2614,15433,11654
314,Nevada,NV-500,Las Vegas/Clark County,32003,Clark County,2011,1962162,985526,976636,1444666,219513,22597,180694,15927,78765,1383694,578468
315,Nevada,NV-500,Las Vegas/Clark County,32003,Clark County,2012,1989644,998851,990793,1455351,227005,23046,185957,16207,82078,1399001,590643
316,Nevada,NV-500,Las Vegas/Clark County,32003,Clark County,2013,2017798,1011520,1006278,1466708,232376,23351,193037,16798,85528,1412827,604971
317,Nevada,NV-500,Las Vegas/Clark County,32003,Clark County,2014,2053929,1028127,1025802,1482373,240501,23999,200125,17235,89696,1433446,620483
318,Nevada,NV-500,Las Vegas/Clark County,32003,Clark County,2015,2097832,1048791,1049041,1501661,251575,24762,207783,17774,94277,1457718,640114
319,Nevada,NV-500,Las Vegas/Clark County,32003,Clark County,2016,2140240,1069022,1071218,1517935,263625,25455,215257,18648,99320,1481671,658569
320,Nevada,NV-500,Las Vegas/Clark County,32003,Clark County,2017,2183273,1089565,1093708,1533787,276367,26197,222981,19385,104556,1506060,677213
321,Nevada,NV-500,Las Vegas/Clark County,32003,Clark County,2018,2228970,1111829,1117141,1553938,288360,27067,229774,20175,109656,1531847,697123
322,Nevada,NV-500,Las Vegas/Clark County,32003,Clark County,2019,2275884,1134237,1141647,1574433,298891,28000,238433,21020,115107,1557841,718043
323,Nevada,NV-500,Las Vegas/Clark County,32003,Clark County,2020,2315963,1153732,1162231,1590696,307805,28734,247040,21654,120034,1579140,736823
453,Nevada,NV-500,Las Vegas/Clark County,32003,Clark County,2021,2292476,1147762,1144714,1558762,312095,28823,248779,21903,122114,1551173,741303
64,Illinois,IL-510,Chicago,17031,Cook County,2007,71162,36146,35016,45516,18789,199,4188,15,2455,45991,25171
65,Illinois,IL-510,Chicago,17031,Cook County,2008,69487,35254,34233,44035,18282,190,4377,12,2591,45174,24313
66,Illinois,IL-510,Chicago,17031,Cook County,2009,69174,35298,33876,43849,17605,598,4415,53,2654,44851,24323
67,Illinois,IL-510,Chicago,17031,Cook County,2010,69138,35314,33824,43798,17373,731,4325,57,2854,44824,24314
284,Illinois,IL-510,Chicago,17031,Cook County,2011,5219636,2527304,2692332,3434494,1306124,39648,346528,3838,89004,3956502,1263134
285,Illinois,IL-510,Chicago,17031,Cook County,2012,5239105,2536984,2702121,3443645,1302933,39654,357613,3873,91387,3963635,1275470
286,Illinois,IL-510,Chicago,17031,Cook County,2013,5252513,2544509,2708004,3449199,1296161,39397,369678,3872,94206,3966514,1285999
287,Illinois,IL-510,Chicago,17031,Cook County,2014,5254108,2546443,2707665,3446472,1288510,39264,379384,3873,96605,3959271,1294837
288,Illinois,IL-510,Chicago,17031,Cook County,2015,5243371,2542404,2700967,3434526,1279297,39196,387848,3843,98661,3941658,1301713
289,Illinois,IL-510,Chicago,17031,Cook County,2016,5223386,2534363,2689023,3418620,1267198,38854,394143,3795,100776,3917038,1306348
290,Illinois,IL-510,Chicago,17031,Cook County,2017,5199582,2524099,2675483,3400330,1251668,38566,402770,3729,102519,3891551,1308031
291,Illinois,IL-510,Chicago,17031,Cook County,2018,5171007,2510637,2660370,3377117,1239247,38248,408133,3744,104518,3862041,1308966
292,Illinois,IL-510,Chicago,17031,Cook County,2019,5145326,2498446,2646880,3354894,1230039,38422,411985,3741,106245,3836051,1309275
293,Illinois,IL-510,Chicago,17031,Cook County,2020,5108284,2481079,2627205,3325506,1219493,38488,413443,3735,107619,3798745,1309539
450,Illinois,IL-510,Chicago,17031,Cook County,2021,5173146,2525814,2647332,3373515,1226143,39482,418482,3690,111834,3826562,1346584
40,Colorado,CO-503,Metropolitan Denver,8031,Denver County,2007,8627,4351,4276,6776,1043,128,220,11,449,4567,4060
41,Colorado,CO-503,Metropolitan Denver,8031,Denver County,2008,8334,4238,4096,6480,1027,146,220,6,455,4607,3727
42,Colorado,CO-503,Metropolitan Denver,8031,Denver County,2009,8320,4191,4129,6407,959,196,231,14,513,4643,3677
43,Colorado,CO-503,Metropolitan Denver,8031,Denver County,2010,9163,4595,4568,7084,967,229,271,16,596,5028,4135
224,Colorado,CO-503,Metropolitan Denver,8031,Denver County,2011,620250,309586,310664,500096,65326,12687,22771,900,18470,424514,195736
225,Colorado,CO-503,Metropolitan Denver,8031,Denver County,2012,634965,317111,317854,512022,66268,12672,23706,1088,19209,436632,198333
226,Colorado,CO-503,Metropolitan Denver,8031,Denver County,2013,649270,324332,324938,523313,67196,12909,24655,1143,20054,448251,201019
227,Colorado,CO-503,Metropolitan Denver,8031,Denver County,2014,664540,332128,332412,535454,68436,13000,25681,1149,20820,459636,204904
228,Colorado,CO-503,Metropolitan Denver,8031,Denver County,2015,683328,342179,341149,551267,69508,13032,26724,1191,21606,475241,208087
229,Colorado,CO-503,Metropolitan Denver,8031,Denver County,2016,696273,348921,347352,562022,69902,13198,27610,1239,22302,486556,209717
230,Colorado,CO-503,Metropolitan Denver,8031,Denver County,2017,704869,353045,351824,569446,69789,13086,28353,1329,22866,494630,210239
231,Colorado,CO-503,Metropolitan Denver,8031,Denver County,2018,716340,359387,356953,578098,70815,13056,29112,1504,23755,504606,211734
232,Colorado,CO-503,Metropolitan Denver,8031,Denver County,2019,725508,363739,361769,586257,71027,12915,29479,1517,24313,513494,212014
233,Colorado,CO-503,Metropolitan Denver,8031,Denver County,2020,735538,368867,366671,594047,71866,13037,30001,1616,24971,522803,212735
444,Colorado,CO-503,Metropolitan Denver,8031,Denver County,2021,711463,358381,353082,573034,70184,12675,29052,1701,24817,505256,206207
52,District of Columbia,DC-500,District of Columbia,11001,District of Columbia,2007,7735,4000,3735,2355,4955,23,112,6,284,6440,1295
53,District of Columbia,DC-500,District of Columbia,11001,District of Columbia,2008,7888,4036,3852,2450,4970,40,111,5,312,6559,1329
54,District of Columbia,DC-500,District of Columbia,11001,District of Columbia,2009,7515,3884,3631,2782,4181,40,151,9,352,6332,1183
55,District of Columbia,DC-500,District of Columbia,11001,District of Columbia,2010,7197,3669,3528,2776,3759,55,169,10,428,6192,1005
254,District of Columbia,DC-500,District of Columbia,11001,District of Columbia,2011,620290,293695,326595,263669,314236,3413,22884,862,15226,560614,59676
255,District of Columbia,DC-500,District of Columbia,11001,District of Columbia,2012,635737,301023,334714,273652,317686,3530,23929,960,15980,572788,62949
256,District of Columbia,DC-500,District of Columbia,11001,District of Columbia,2013,651559,309137,342422,282152,322616,3851,25104,1011,16825,584981,66578
257,District of Columbia,DC-500,District of Columbia,11001,District of Columbia,2014,663603,315215,348388,289837,325302,3966,26062,1051,17385,594283,69320
258,District of Columbia,DC-500,District of Columbia,11001,District of Columbia,2015,677014,321166,355848,298776,327506,4047,27585,1081,18019,604676,72338
259,District of Columbia,DC-500,District of Columbia,11001,District of Columbia,2016,687576,326511,361065,306130,328588,4177,28903,1111,18667,613167,74409
260,District of Columbia,DC-500,District of Columbia,11001,District of Columbia,2017,697079,330743,366336,313408,328809,4246,30145,1110,19361,620751,76328
261,District of Columbia,DC-500,District of Columbia,11001,District of Columbia,2018,704147,334326,369821,319355,328536,4264,30945,1138,19909,625930,78217
262,District of Columbia,DC-500,District of Columbia,11001,District of Columbia,2019,708253,335860,372393,324529,326019,4318,31697,1100,20590,628415,79838
263,District of Columbia,DC-500,District of Columbia,11001,District of Columbia,2020,712816,337932,374884,329706,324186,4240,32460,1089,21135,631701,81115
447,District of Columbia,DC-500,District of Columbia,11001,District of Columbia,2021,670050,318904,351146,307274,306925,4067,30342,1063,20379,593131,76919
44,Colorado,CO-503,Metropolitan Denver,8035,Douglas County,2007,4139,2135,2004,3797,31,14,131,1,165,3772,367
45,Colorado,CO-503,Metropolitan Denver,8035,Douglas County,2008,3930,2064,1866,3604,22,16,126,2,160,3582,348
46,Colorado,CO-503,Metropolitan Denver,8035,Douglas County,2009,3762,1964,1798,3385,29,20,132,2,194,3377,385
47,Colorado,CO-503,Metropolitan Denver,8035,Douglas County,2010,3802,1967,1835,3381,33,23,145,3,217,3394,408
234,Colorado,CO-503,Metropolitan Denver,8035,Douglas County,2011,292626,144915,147711,269140,3735,1348,11531,264,6608,269831,22795
235,Colorado,CO-503,Metropolitan Denver,8035,Douglas County,2012,298826,148130,150696,274275,3778,1329,12183,311,6950,274948,23878
236,Colorado,CO-503,Metropolitan Denver,8035,Douglas County,2013,306407,151921,154486,280643,3921,1407,12765,331,7340,281730,24677
237,Colorado,CO-503,Metropolitan Denver,8035,Douglas County,2014,314783,156347,158436,287448,4060,1419,13787,351,7718,289114,25669
238,Colorado,CO-503,Metropolitan Denver,8035,Douglas County,2015,322333,160250,162083,293431,4226,1501,14790,351,8034,295596,26737
239,Colorado,CO-503,Metropolitan Denver,8035,Douglas County,2016,328680,163905,164775,298032,4533,1555,15822,362,8376,300872,27808
240,Colorado,CO-503,Metropolitan Denver,8035,Douglas County,2017,336347,167936,168411,303628,4955,1626,16887,361,8890,307166,29181
241,Colorado,CO-503,Metropolitan Denver,8035,Douglas County,2018,343780,171765,172015,308743,5338,1774,18202,369,9354,313031,30749
242,Colorado,CO-503,Metropolitan Denver,8035,Douglas County,2019,351842,175738,176104,314549,5791,1868,19189,397,10048,319744,32098
243,Colorado,CO-503,Metropolitan Denver,8035,Douglas County,2020,360750,180324,180426,321374,6251,1920,20214,420,10571,326961,33789
445,Colorado,CO-503,Metropolitan Denver,8035,Douglas County,2021,368990,185806,183184,327309,6860,2055,21348,469,10949,333028,35962
112,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48157,Fort Bend County,2007,7885,4039,3846,4781,1514,18,1275,6,291,5423,2462
113,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48157,Fort Bend County,2008,8180,4160,4020,4880,1541,40,1407,6,306,5611,2569
114,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48157,Fort Bend County,2009,8449,4356,4093,4994,1694,64,1356,8,333,5751,2698
115,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48157,Fort Bend County,2010,8275,4282,3993,4822,1702,75,1303,11,362,5577,2698
404,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48157,Fort Bend County,2011,605979,297802,308177,351693,131111,3556,107904,464,11251,461372,144607
405,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48157,Fort Bend County,2012,624737,306560,318177,361127,133956,3605,113647,497,11905,475251,149486
406,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48157,Fort Bend County,2013,651770,320323,331447,375527,138574,3779,120493,517,12880,495936,155834
407,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48157,Fort Bend County,2014,683977,336223,347754,391079,144347,4012,130130,551,13858,520499,163478
408,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48157,Fort Bend County,2015,715260,351623,363637,405313,149661,4174,140683,626,14803,544307,170953
409,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48157,Fort Bend County,2016,744489,365925,378564,417424,155819,4408,150327,659,15852,564836,179653
410,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48157,Fort Bend County,2017,768258,377247,391011,425725,161474,4675,159105,676,16603,581444,186814
411,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48157,Fort Bend County,2018,789269,387158,402111,433157,167120,4834,166146,681,17331,595594,193675
412,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48157,Fort Bend County,2019,812737,398648,414089,441506,173956,4944,173027,763,18541,611356,201381
413,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48157,Fort Bend County,2020,839706,411851,427855,451937,181720,5167,180564,838,19480,629483,210223
462,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48157,Fort Bend County,2021,858527,423160,435367,458561,187748,5498,185480,883,20357,639666,218861
60,Georgia,GA-500,Atlanta,13121,Fulton County,2007,12976,6717,6259,5508,6252,67,738,7,404,11053,1923
61,Georgia,GA-500,Atlanta,13121,Fulton County,2008,12838,6567,6271,5128,6287,62,851,12,498,11028,1810
62,Georgia,GA-500,Atlanta,13121,Fulton County,2009,12110,6205,5905,4692,6209,74,696,7,432,10419,1691
63,Georgia,GA-500,Atlanta,13121,Fulton County,2010,12605,6465,6140,5046,6299,64,697,8,491,10883,1722
274,Georgia,GA-500,Atlanta,13121,Fulton County,2011,947582,461296,486286,444793,425722,3139,55908,483,17537,875082,72500
275,Georgia,GA-500,Atlanta,13121,Fulton County,2012,973464,473742,499722,454762,436648,3226,59778,547,18503,900346,73118
276,Georgia,GA-500,Atlanta,13121,Fulton County,2013,981844,476967,504877,456731,439251,3084,62995,571,19212,909330,72514
277,Georgia,GA-500,Atlanta,13121,Fulton County,2014,992321,481525,510796,459590,443787,3067,65635,564,19678,920116,72205
278,Georgia,GA-500,Atlanta,13121,Fulton County,2015,1005752,486746,519006,463464,449855,2959,68733,568,20173,933479,72273
279,Georgia,GA-500,Atlanta,13121,Fulton County,2016,1023816,496134,527682,469897,456558,3030,72817,591,20923,950427,73389
280,Georgia,GA-500,Atlanta,13121,Fulton County,2017,1039996,503642,536354,475306,463324,2921,76462,596,21387,965837,74159
281,Georgia,GA-500,Atlanta,13121,Fulton County,2018,1051516,509273,542243,479036,467428,2911,79350,567,22224,976271,75245
282,Georgia,GA-500,Atlanta,13121,Fulton County,2019,1065019,515023,549996,483516,472909,2921,82089,471,23113,988727,76292
283,Georgia,GA-500,Atlanta,13121,Fulton County,2020,1077402,520579,556823,486057,479663,2972,84277,455,23978,999761,77641
449,Georgia,GA-500,Atlanta,13121,Fulton County,2021,1065334,516655,548679,477965,476325,2963,83471,386,24224,987601,77733
104,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48201,Harris County,2007,68067,34586,33481,48854,13350,311,3459,90,2003,31295,36772
105,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48201,Harris County,2008,68888,34944,33944,49468,13216,350,3630,86,2138,31292,37596
106,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48201,Harris County,2009,69300,35228,34072,49491,13078,889,3587,105,2150,31547,37753
107,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48201,Harris County,2010,69013,35107,33906,49084,13068,1044,3533,108,2176,31413,37600
384,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48201,Harris County,2011,4179279,2077976,2101303,2972044,815693,47297,273480,5312,65453,2458155,1721124
385,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48201,Harris County,2012,4262549,2119533,2143016,3020609,834000,47862,285669,5309,69100,2500058,1762491
386,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48201,Harris County,2013,4352419,2164647,2187772,3073490,852247,48688,299812,5397,72785,2544470,1807949
387,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48201,Harris County,2014,4454951,2215946,2239005,3132680,874828,49306,315522,5460,77155,2598638,1856313
388,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48201,Harris County,2015,4556559,2267146,2289413,3191154,898170,50083,330087,5500,81565,2646401,1910158
389,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48201,Harris County,2016,4622836,2299012,2323824,3227742,914847,50566,339660,5507,84514,2667617,1955219
390,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48201,Harris County,2017,4655798,2313360,2342438,3241824,926413,50871,344750,5458,86482,2667632,1988166
391,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48201,Harris County,2018,4676913,2321982,2354931,3246255,938133,51131,347189,5485,88720,2661793,2015120
392,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48201,Harris County,2019,4709243,2336350,2372893,3261618,948407,51788,351205,5557,90668,2661756,2047487
393,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48201,Harris County,2020,4738253,2349869,2388384,3274049,959264,52703,353338,5552,93347,2661123,2077130
460,Texas,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",48201,Harris County,2021,4728030,2354169,2373861,3261327,962028,53319,350720,5511,95125,2630428,2097602
56,Florida,FL-501,Tampa/Hillsborough County,12057,Hillsborough County,2007,16665,8628,8037,11278,3848,53,519,43,924,10483,6182
57,Florida,FL-501,Tampa/Hillsborough County,12057,Hillsborough County,2008,16592,8550,8042,10958,4001,61,544,50,978,10617,5975
58,Florida,FL-501,Tampa/Hillsborough County,12057,Hillsborough County,2009,15888,8139,7749,10568,3721,79,523,34,963,10298,5590
59,Florida,FL-501,Tampa/Hillsborough County,12057,Hillsborough County,2010,15877,8172,7705,10635,3624,80,533,29,976,10458,5419
264,Florida,FL-501,Tampa/Hillsborough County,12057,Hillsborough County,2011,1255639,614669,640970,952277,220106,6479,45915,1498,29364,937554,318085
265,Florida,FL-501,Tampa/Hillsborough County,12057,Hillsborough County,2012,1279861,624951,654910,970100,222805,6602,48151,1608,30595,949345,330516
