,STNAME,CoC Code,Coc,CTYNAME,FIPS code,Year,Suicide Deaths
446,Massachusetts,MA-500,Boston,Suffolk County,25025,2021,53.0
401,Texas,TX-503,Austin/Travis County,Travis County,48453,2007,108.0
402,Texas,TX-503,Austin/Travis County,Travis County,48453,2008,104.0
403,Texas,TX-503,Austin/Travis County,Travis County,48453,2009,113.0
404,Texas,TX-503,Austin/Travis County,Travis County,48453,2010,127.0
405,Texas,TX-503,Austin/Travis County,Travis County,48453,2011,107.0
406,Texas,TX-503,Austin/Travis County,Travis County,48453,2012,142.0
407,Texas,TX-503,Austin/Travis County,Travis County,48453,2013,138.0
408,Texas,TX-503,Austin/Travis County,Travis County,48453,2014,141.0
409,Texas,TX-503,Austin/Travis County,Travis County,48453,2015,159.0
410,Texas,TX-503,Austin/Travis County,Travis County,48453,2016,134.0
411,Texas,TX-503,Austin/Travis County,Travis County,48453,2017,164.0
412,Texas,TX-503,Austin/Travis County,Travis County,48453,2018,157.0
413,Texas,TX-503,Austin/Travis County,Travis County,48453,2019,167.0
414,Texas,TX-503,Austin/Travis County,Travis County,48453,2020,159.0
458,Texas,TX-503,Austin/Travis County,Travis County,48453,2021,198.0
247,Michigan,MI-501,Detroit,Wayne County,26163,2007,177.0
248,Michigan,MI-501,Detroit,Wayne County,26163,2008,202.0
249,Michigan,MI-501,Detroit,Wayne County,26163,2009,192.0
250,Michigan,MI-501,Detroit,Wayne County,26163,2010,196.0
251,Michigan,MI-501,Detroit,Wayne County,26163,2011,205.0
252,Michigan,MI-501,Detroit,Wayne County,26163,2012,196.0
253,Michigan,MI-501,Detroit,Wayne County,26163,2013,211.0
254,Michigan,MI-501,Detroit,Wayne County,26163,2014,217.0
255,Michigan,MI-501,Detroit,Wayne County,26163,2015,201.0
256,Michigan,MI-501,Detroit,Wayne County,26163,2016,210.0
257,Michigan,MI-501,Detroit,Wayne County,26163,2017,203.0
258,Michigan,MI-501,Detroit,Wayne County,26163,2018,225.0
259,Michigan,MI-501,Detroit,Wayne County,26163,2019,211.0
260,Michigan,MI-501,Detroit,Wayne County,26163,2020,218.0
447,Michigan,MI-501,Detroit,Wayne County,26163,2021,220.0
