,CoC Number,year,permanent_housing,homeless,poverty,unemployment_rate
118,CA-601,2016,4038.0,8669,3222062.0,4.7
119,CA-609,2016,1098.0,1887,2101567.0,5.8
120,CO-503,2016,2638.0,5728,3071260.0,20.1
121,DC-500,2016,8863.0,8350,647652.0,6.2
122,FL-501,2016,1539.0,1817,1354074.0,4.5
123,GA-500,2016,2325.0,4063,11920.0,4.3
124,IL-510,2016,9559.0,5889,5117078.0,6.2
125,MA-500,2016,7894.0,6240,738829.0,3.7
126,MI-501,2016,5282.0,2335,1729412.0,6.2
127,NV-500,2016,2066.0,6208,2128461.0,5.9
128,NY-600,2016,28640.0,73523,8390346.0,26.6
129,PA-500,2016,6046.0,6112,1517920.0,6.7
130,TX-503,2016,1350.0,2138,1177093.0,3.2
131,TX-700,2016,4818.0,4031,5825603.0,15.2
132,WA-500,2016,6259.0,10730,2120859.0,3.8
133,AZ-502,2015,5319.0,5631,4103850.0,5.1
134,CA-500,2015,2794.0,6556,1891080.0,4.2
135,CA-501,2015,7051.0,6775,849842.0,3.7
136,CA-600,2015,17072.0,41174,10011595.0,6.7
137,CA-601,2015,3501.0,8742,3203252.0,5.2
138,CA-609,2015,1087.0,2149,2087881.0,6.5
139,CO-503,2015,2129.0,5335,3032191.0,24.1
140,DC-500,2015,5679.0,7298,638024.0,6.9
141,FL-501,2015,1513.0,1931,1326696.0,5.1
142,GA-500,2015,2247.0,4317,11994.0,5.1
143,IL-510,2015,8164.0,6786,5151018.0,6.3
144,MA-500,2015,6432.0,6492,733077.0,4.4
145,MI-501,2015,4986.0,2597,1739083.0,6.8
146,NV-500,2015,1942.0,7509,2089026.0,6.9
147,NY-600,2015,26722.0,75323,8405504.0,28.8
148,PA-500,2015,5808.0,5998,1517222.0,7.2
149,TX-503,2015,1132.0,1832,1154396.0,3.3
150,TX-700,2015,3772.0,4609,5730616.0,13.3
151,WA-500,2015,6095.0,10122,2087764.0,4.1
152,AZ-502,2014,5478.0,5918,4023019.0,5.8
153,CA-500,2014,3683.0,7567,1867602.0,5.2
154,CA-501,2014,6843.0,6408,837036.0,4.4
155,CA-600,2014,14749.0,34393,9958684.0,8.2
156,CA-601,2014,3296.0,8506,3168867.0,6.5
157,CA-609,2014,684.0,2315,2071080.0,8.1
158,CO-503,2014,2007.0,6621,2967039.0,32.2
159,DC-500,2014,6414.0,7748,624323.0,7.7
160,FL-501,2014,1424.0,1944,1294850.0,6.0
161,GA-500,2014,1677.0,4797,11935.0,5.7
162,IL-510,2014,8423.0,6287,5156535.0,7.6
163,MA-500,2014,6042.0,5987,722372.0,5.3
164,MI-501,2014,2507.0,2755,1744873.0,9.6
165,NV-500,2014,2167.0,7443,2045642.0,8.2
166,NY-600,2014,21813.0,67810,8344228.0,36.4
167,PA-500,2014,5502.0,5738,1509769.0,8.2
168,TX-503,2014,1032.0,1987,1128678.0,4.1
169,TX-700,2014,3676.0,5308,5586712.0,14.2
170,WA-500,2014,4687.0,8949,2050488.0,4.5
171,AZ-502,2013,4717.0,5889,3951626.0,6.6
172,CA-500,2013,3338.0,7631,1835157.0,6.6
173,CA-501,2013,6637.0,7008,822030.0,5.5
174,CA-600,2013,11867.0,35524,9858931.0,9.8
175,CA-601,2013,2503.0,8879,3121289.0,7.9
176,CA-609,2013,454.0,2321,2047526.0,9.9
177,CO-503,2013,1965.0,6316,2909259.0,43.5
178,DC-500,2013,6224.0,6865,611783.0,8.4
179,FL-501,2013,1176.0,1909,1269577.0,6.9
180,GA-500,2013,1764.0,5536,12100.0,6.7
181,IL-510,2013,7960.0,6276,5152225.0,9.7
182,MA-500,2013,5814.0,5881,710490.0,6.1
183,MI-501,2013,2120.0,2789,1754598.0,11.4
184,NV-500,2013,2032.0,5952,2002784.0,10.0
185,NY-600,2013,19599.0,64060,8259896.0,45.1
186,PA-500,2013,5409.0,5645,1502340.0,10.0
187,TX-503,2013,1035.0,2090,1098400.0,5.1
188,TX-700,2013,3242.0,6359,5430373.0,17.1
189,WA-500,2013,4365.0,9106,2015022.0,4.4
190,AZ-502,2012,4479.0,6485,3885344.0,7.3
191,CA-500,2012,3183.0,7053,1811534.0,8.0
192,CA-501,2012,7588.0,5895,810697.0,6.9
193,CA-600,2012,20802.0,31553,9810434.0,11.0
194,CA-601,2012,2421.0,10013,3086106.0,9.3
195,CA-609,2012,401.0,2532,2040274.0,11.6
196,CO-503,2012,2238.0,6358,2851856.0,51.8
197,DC-500,2012,6452.0,6954,598151.0,9.0
198,FL-501,2012,891.0,7419,1257060.0,8.1
199,GA-500,2012,1523.0,6811,12122.0,6.9
200,IL-510,2012,8177.0,6710,5144225.0,9.7
201,MA-500,2012,5232.0,5607,699982.0,6.2
202,MI-501,2012,1797.0,3115,1772920.0,11.7
203,NV-500,2012,1804.0,7323,1975308.0,11.7
204,NY-600,2012,18599.0,56672,8195788.0,48.5
205,PA-500,2012,4840.0,5780,1498157.0,10.6
206,TX-503,2012,957.0,2244,1073169.0,5.5
207,TX-700,2012,3066.0,7187,5307124.0,18.4
208,WA-500,2012,4225.0,8899,1978217.0,6.3
209,AZ-502,2011,3214.0,5831,3824961.0,8.5
210,CA-500,2011,2493.0,7067,1782850.0,9.5
211,CA-501,2011,6998.0,5669,797283.0,8.2
212,CA-600,2011,17115.0,34622,9735899.0,12.2
213,CA-601,2011,1644.0,9436,3048226.0,10.5
214,CA-609,2011,323.0,2825,2023785.0,13.1
215,CO-503,2011,2241.0,4809,2803450.0,56.8
216,DC-500,2011,5566.0,6546,584583.0,10.2
217,FL-501,2011,737.0,7336,1246958.0,9.6
218,GA-500,2011,2587.0,6805,12100.0,7.4
219,IL-510,2011,7828.0,6635,5130885.0,10.6
220,MA-500,2011,4675.0,5476,688818.0,6.6
221,MI-501,2011,4473.0,3138,1782027.0,12.5
222,NV-500,2011,1729.0,8003,1946162.0,13.5
223,NY-600,2011,27449.0,51123,8100462.0,46.8
224,PA-500,2011,4732.0,6180,1487011.0,10.5
225,TX-503,2011,871.0,2362,1040890.0,6.6
226,TX-700,2011,3002.0,8471,5201666.0,22.7
227,WA-500,2011,4059.0,8972,1939640.0,7.5
228,AZ-502,2010,3013.0,6999,3772257.0,9.5
229,CA-500,2010,2106.0,7086,1760897.0,10.7
230,CA-501,2010,6710.0,5823,789928.0,9.1
231,CA-600,2010,17008.0,33243,9675347.0,12.6
232,CA-601,2010,847.0,8383,3013705.0,11.0
233,CA-609,2010,194.0,2026,2000388.0,13.9
