,State,STNAME,Coc,CoC Code,FIPS code,CTYNAME,Year,Population
322,CO,Colorado,Metropolitan Denver,CO-503,8059,Jefferson County,2017,576041.0
323,DC,District of Columbia,District of Columbia,DC-500,11001,District of Columbia,2017,697079.0
324,FL,Florida,Tampa/Hillsborough County,FL-501,12057,Hillsborough County,2017,1428960.0
325,GA,Georgia,Atlanta,GA-500,5049,Fulton County,2017,1039996.0
326,IL,Illinois,Chicago,IL-510,17031,Cook County,2017,5199582.0
327,MA,Massachusetts,Boston,MA-500,25025,Suffolk County,2017,801269.0
328,MI,Michigan,Detroit,MI-501,26163,Wayne County,2017,1757874.0
329,NV,Nevada,Las Vegas/Clark County,NV-500,32003,Clark County,2017,2183273.0
330,NY,New York,New York City,NY-600,36005,Bronx County,2017,1439956.0
331,NY,New York,New York City,NY-600,36047,Kings County,2017,2594357.0
332,NY,New York,New York City,NY-600,36061,New York County,2017,1632337.0
333,NY,New York,New York City,NY-600,36081,Queens County,2017,2295226.0
334,NY,New York,New York City,NY-600,36085,Richmond County,2017,475819.0
335,PA,Pennsylvania,Philadelphia,PA-500,42101,Philadelphia Count,2017,
336,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48201,Harris County,2017,4655798.0
337,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48339,Montgomery County,2017,571542.0
338,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48157,Fort Bend County,2017,768258.0
339,TX,Texas,Austin/Travis County,TX-503,48453,Travis County,2017,1227373.0
340,WA,Washington,Seattle/King,WA-500,53033,King County,2017,2205001.0
341,AZ,Arizona,"Phoenix,Mesa/Maricopa",AZ-502,4013,Maricopa County,2018,4405306.0
342,CA,California,Los Angeles City & County,CA-600,6037,Los Angeles County,2018,10061533.0
343,CA,California,San Diego City and County,CA-601,6073,San Diego County,2018,3332483.0
344,CA,California,San Jose/Santa Clara City & County,CA-500,6085,Santa Clara County,2018,1931985.0
345,CA,California,San Bernardino City & County,CA-609,6071,San Bernardino County,2018,2165627.0
346,CA,California,San Francisco,CA-501,6075,San Francisco County,2018,879676.0
347,CO,Colorado,Metropolitan Denver,CO-503,8001,Adams County,2018,511485.0
348,CO,Colorado,Metropolitan Denver,CO-503,8005,Arapahoe County,2018,652395.0
349,CO,Colorado,Metropolitan Denver,CO-503,8013,Boulder County,2018,325438.0
350,CO,Colorado,Metropolitan Denver,CO-503,8014,Broomfield County,2018,69431.0
351,CO,Colorado,Metropolitan Denver,CO-503,8031,Denver County,2018,716340.0
352,CO,Colorado,Metropolitan Denver,CO-503,8035,Douglas County,2018,343780.0
353,CO,Colorado,Metropolitan Denver,CO-503,8059,Jefferson County,2018,580027.0
354,DC,District of Columbia,District of Columbia,DC-500,11001,District of Columbia,2018,704147.0
355,FL,Florida,Tampa/Hillsborough County,FL-501,12057,Hillsborough County,2018,1455351.0
356,GA,Georgia,Atlanta,GA-500,5049,Fulton County,2018,1051516.0
357,IL,Illinois,Chicago,IL-510,17031,Cook County,2018,5171007.0
358,MA,Massachusetts,Boston,MA-500,25025,Suffolk County,2018,804023.0
359,MI,Michigan,Detroit,MI-501,26163,Wayne County,2018,1755868.0
360,NV,Nevada,Las Vegas/Clark County,NV-500,32003,Clark County,2018,2228970.0
361,NY,New York,New York City,NY-600,36005,Bronx County,2018,1432316.0
362,NY,New York,New York City,NY-600,36047,Kings County,2018,2580088.0
363,NY,New York,New York City,NY-600,36061,New York County,2018,1632393.0
364,NY,New York,New York City,NY-600,36081,Queens County,2018,2275286.0
365,NY,New York,New York City,NY-600,36085,Richmond County,2018,476531.0
366,PA,Pennsylvania,Philadelphia,PA-500,42101,Philadelphia Count,2018,
367,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48201,Harris County,2018,4676913.0
368,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48339,Montgomery County,2018,590127.0
369,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48157,Fort Bend County,2018,789269.0
370,TX,Texas,Austin/Travis County,TX-503,48453,Travis County,2018,1246693.0
371,WA,Washington,Seattle/King,WA-500,53033,King County,2018,2228488.0
372,AZ,Arizona,"Phoenix,Mesa/Maricopa",AZ-502,4013,Maricopa County,2019,4492261.0
373,CA,California,Los Angeles City & County,CA-600,6037,Los Angeles County,2019,10011602.0
374,CA,California,San Diego City and County,CA-601,6073,San Diego County,2019,3330459.0
375,CA,California,San Jose/Santa Clara City & County,CA-500,6085,Santa Clara County,2019,1922411.0
376,CA,California,San Bernardino City & County,CA-609,6071,San Bernardino County,2019,2177279.0
377,CA,California,San Francisco,CA-501,6075,San Francisco County,2019,878826.0
378,CO,Colorado,Metropolitan Denver,CO-503,8001,Adams County,2019,516575.0
379,CO,Colorado,Metropolitan Denver,CO-503,8005,Arapahoe County,2019,656051.0
380,CO,Colorado,Metropolitan Denver,CO-503,8013,Boulder County,2019,326020.0
381,CO,Colorado,Metropolitan Denver,CO-503,8014,Broomfield County,2019,70617.0
382,CO,Colorado,Metropolitan Denver,CO-503,8031,Denver County,2019,725508.0
383,CO,Colorado,Metropolitan Denver,CO-503,8035,Douglas County,2019,351842.0
384,CO,Colorado,Metropolitan Denver,CO-503,8059,Jefferson County,2019,582800.0
385,DC,District of Columbia,District of Columbia,DC-500,11001,District of Columbia,2019,708253.0
386,FL,Florida,Tampa/Hillsborough County,FL-501,12057,Hillsborough County,2019,1476431.0
387,GA,Georgia,Atlanta,GA-500,5049,Fulton County,2019,1065019.0
388,IL,Illinois,Chicago,IL-510,17031,Cook County,2019,5145326.0
389,MA,Massachusetts,Boston,MA-500,25025,Suffolk County,2019,805915.0
390,MI,Michigan,Detroit,MI-501,26163,Wayne County,2019,1750093.0
391,NV,Nevada,Las Vegas/Clark County,NV-500,32003,Clark County,2019,2275884.0
392,NY,New York,New York City,NY-600,36005,Bronx County,2019,1418187.0
393,NY,New York,New York City,NY-600,36047,Kings County,2019,2562329.0
394,NY,New York,New York City,NY-600,36061,New York County,2019,1632326.0
395,NY,New York,New York City,NY-600,36081,Queens County,2019,2253942.0
396,NY,New York,New York City,NY-600,36085,Richmond County,2019,476141.0
397,PA,Pennsylvania,Philadelphia,PA-500,42101,Philadelphia Count,2019,
398,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48201,Harris County,2019,4709243.0
399,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48339,Montgomery County,2019,607583.0
400,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48157,Fort Bend County,2019,812737.0
401,TX,Texas,Austin/Travis County,TX-503,48453,Travis County,2019,1273567.0
402,WA,Washington,Seattle/King,WA-500,53033,King County,2019,2249653.0
403,AZ,Arizona,"Phoenix,Mesa/Maricopa",AZ-502,4013,Maricopa County,2020,4579081.0
404,CA,California,Los Angeles City & County,CA-600,6037,Los Angeles County,2020,9943046.0
405,CA,California,San Diego City and County,CA-601,6073,San Diego County,2020,3332427.0
406,CA,California,San Jose/Santa Clara City & County,CA-500,6085,Santa Clara County,2020,1907105.0
407,CA,California,San Bernardino City & County,CA-609,6071,San Bernardino County,2020,2189183.0
408,CA,California,San Francisco,CA-501,6075,San Francisco County,2020,866606.0
409,CO,Colorado,Metropolitan Denver,CO-503,8001,Adams County,2020,519883.0
410,CO,Colorado,Metropolitan Denver,CO-503,8005,Arapahoe County,2020,657452.0
411,CO,Colorado,Metropolitan Denver,CO-503,8013,Boulder County,2020,327171.0
412,CO,Colorado,Metropolitan Denver,CO-503,8014,Broomfield County,2020,72236.0
413,CO,Colorado,Metropolitan Denver,CO-503,8031,Denver County,2020,735538.0
414,CO,Colorado,Metropolitan Denver,CO-503,8035,Douglas County,2020,360750.0
415,CO,Colorado,Metropolitan Denver,CO-503,8059,Jefferson County,2020,583283.0
416,DC,District of Columbia,District of Columbia,DC-500,11001,District of Columbia,2020,712816.0
417,FL,Florida,Tampa/Hillsborough County,FL-501,12057,Hillsborough County,2020,1497957.0
418,GA,Georgia,Atlanta,GA-500,5049,Fulton County,2020,1077402.0
419,IL,Illinois,Chicago,IL-510,17031,Cook County,2020,5108284.0
420,MA,Massachusetts,Boston,MA-500,25025,Suffolk County,2020,801582.0
421,MI,Michigan,Detroit,MI-501,26163,Wayne County,2020,1740623.0
422,NV,Nevada,Las Vegas/Clark County,NV-500,32003,Clark County,2020,2315963.0
423,NY,New York,New York City,NY-600,36005,Bronx County,2020,1401142.0
424,NY,New York,New York City,NY-600,36047,Kings County,2020,2538934.0
425,NY,New York,New York City,NY-600,36061,New York County,2020,1611989.0
426,NY,New York,New York City,NY-600,36081,Queens County,2020,2225821.0
427,NY,New York,New York City,NY-600,36085,Richmond County,2020,475327.0
428,PA,Pennsylvania,Philadelphia,PA-500,42101,Philadelphia Count,2020,
429,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48201,Harris County,2020,4738253.0
430,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48339,Montgomery County,2020,626351.0
431,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48157,Fort Bend County,2020,839706.0
432,TX,Texas,Austin/Travis County,TX-503,48453,Travis County,2020,1300503.0
433,WA,Washington,Seattle/King,WA-500,53033,King County,2020,2274315.0
434,AZ,Arizona,"Phoenix,Mesa/Maricopa",AZ-502,4013,Maricopa County,2021,4494693.0
435,CA,California,Los Angeles City & County,CA-600,6037,Los Angeles County,2021,9811842.0
436,CA,California,San Diego City and County,CA-601,6073,San Diego County,2021,3274954.0
437,CA,California,San Jose/Santa Clara City & County,CA-500,6085,Santa Clara County,2021,1886595.0
438,CA,California,San Bernardino City & County,CA-609,6071,San Bernardino County,2021,2192882.0
439,CA,California,San Francisco,CA-501,6075,San Francisco County,2021,811253.0
440,CO,Colorado,Metropolitan Denver,CO-503,8001,Adams County,2021,523592.0
441,CO,Colorado,Metropolitan Denver,CO-503,8005,Arapahoe County,2021,656557.0
442,CO,Colorado,Metropolitan Denver,CO-503,8013,Boulder County,2021,327075.0
443,CO,Colorado,Metropolitan Denver,CO-503,8014,Broomfield County,2021,75375.0
444,CO,Colorado,Metropolitan Denver,CO-503,8031,Denver County,2021,711323.0
445,CO,Colorado,Metropolitan Denver,CO-503,8035,Douglas County,2021,369825.0
446,CO,Colorado,Metropolitan Denver,CO-503,8059,Jefferson County,2021,580926.0
447,DC,District of Columbia,District of Columbia,DC-500,11001,District of Columbia,2021,668791.0
448,FL,Florida,Tampa/Hillsborough County,FL-501,12057,Hillsborough County,2021,1484455.0
449,GA,Georgia,Atlanta,GA-500,5049,Fulton County,2021,1062531.0
450,IL,Illinois,Chicago,IL-510,17031,Cook County,2021,5177606.0
451,MA,Massachusetts,Boston,MA-500,25025,Suffolk County,2021,771765.0
452,MI,Michigan,Detroit,MI-501,26163,Wayne County,2021,1773073.0
453,NV,Nevada,Las Vegas/Clark County,NV-500,32003,Clark County,2021,2295194.0
454,NY,New York,New York City,NY-600,36005,Bronx County,2021,1421089.0
455,NY,New York,New York City,NY-600,36047,Kings County,2021,2637486.0
456,NY,New York,New York City,NY-600,36061,New York County,2021,1578801.0
457,NY,New York,New York City,NY-600,36081,Queens County,2021,2328141.0
458,NY,New York,New York City,NY-600,36085,Richmond County,2021,493484.0
459,PA,Pennsylvania,Philadelphia,PA-500,42101,Philadelphia Count,2021,
460,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48201,Harris County,2021,4735287.0
461,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48339,Montgomery County,2021,650261.0
462,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48157,Fort Bend County,2021,860124.0
463,TX,Texas,Austin/Travis County,TX-503,48453,Travis County,2021,1308544.0
464,WA,Washington,Seattle/King,WA-500,53033,King County,2021,2253038.0
465,AZ,Arizona,"Phoenix,Mesa/Maricopa",AZ-502,4013,Maricopa County,2022,4551524.0
466,CA,California,Los Angeles City & County,CA-600,6037,Los Angeles County,2022,9721138.0
467,CA,California,San Diego City and County,CA-601,6073,San Diego County,2022,3276208.0
468,CA,California,San Jose/Santa Clara City & County,CA-500,6085,Santa Clara County,2022,1870945.0
469,CA,California,San Bernardino City & County,CA-609,6071,San Bernardino County,2022,2193656.0
470,CA,California,San Francisco,CA-501,6075,San Francisco County,2022,808437.0
471,CO,Colorado,Metropolitan Denver,CO-503,8001,Adams County,2022,527575.0
472,CO,Colorado,Metropolitan Denver,CO-503,8005,Arapahoe County,2022,655808.0
473,CO,Colorado,Metropolitan Denver,CO-503,8013,Boulder County,2022,327468.0
474,CO,Colorado,Metropolitan Denver,CO-503,8014,Broomfield County,2022,76121.0
475,CO,Colorado,Metropolitan Denver,CO-503,8031,Denver County,2022,713252.0
476,CO,Colorado,Metropolitan Denver,CO-503,8035,Douglas County,2022,375988.0
477,CO,Colorado,Metropolitan Denver,CO-503,8059,Jefferson County,2022,576143.0
478,DC,District of Columbia,District of Columbia,DC-500,11001,District of Columbia,2022,671803.0
479,FL,Florida,Tampa/Hillsborough County,FL-501,12057,Hillsborough County,2022,1513301.0
480,GA,Georgia,Atlanta,GA-500,5049,Fulton County,2022,1074634.0
481,IL,Illinois,Chicago,IL-510,17031,Cook County,2022,5109292.0
482,MA,Massachusetts,Boston,MA-500,25025,Suffolk County,2022,766381.0
483,MI,Michigan,Detroit,MI-501,26163,Wayne County,2022,1757043.0
484,NV,Nevada,Las Vegas/Clark County,NV-500,32003,Clark County,2022,2322985.0
485,NY,New York,New York City,NY-600,36005,Bronx County,2022,1379946.0
486,NY,New York,New York City,NY-600,36047,Kings County,2022,2590516.0
487,NY,New York,New York City,NY-600,36061,New York County,2022,1596273.0
488,NY,New York,New York City,NY-600,36081,Queens County,2022,2278029.0
489,NY,New York,New York City,NY-600,36085,Richmond County,2022,491133.0
490,PA,Pennsylvania,Philadelphia,PA-500,42101,Philadelphia Count,2022,
491,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48201,Harris County,2022,4780913.0
492,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48339,Montgomery County,2022,678490.0
493,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48157,Fort Bend County,2022,889146.0
494,TX,Texas,Austin/Travis County,TX-503,48453,Travis County,2022,1326436.0
495,WA,Washington,Seattle/King,WA-500,53033,King County,2022,2266789.0
