,State,STNAME,Coc,CoC Code,FIPS code,CTYNAME,Year,Population
74,CO,Colorado,Metropolitan Denver,CO-503,8059,Jefferson County,2009,536922.0
75,DC,District of Columbia,District of Columbia,DC-500,11001,District of Columbia,2009,599657.0
76,FL,Florida,Tampa/Hillsborough County,FL-501,12057,Hillsborough County,2009,1195317.0
77,GA,Georgia,Atlanta,GA-500,5049,Fulton County,2009,1033756.0
78,IL,Illinois,Chicago,IL-510,17031,Cook County,2009,5287037.0
79,MA,Massachusetts,Boston,MA-500,25025,Suffolk County,2009,753580.0
80,MI,Michigan,Detroit,MI-501,26163,Wayne County,2009,1925848.0
81,NV,Nevada,Las Vegas/Clark County,NV-500,32003,Clark County,2009,1902834.0
82,NY,New York,New York City,NY-600,36005,Bronx County,2009,1397287.0
83,NY,New York,New York City,NY-600,36047,Kings County,2009,2567098.0
84,NY,New York,New York City,NY-600,36061,New York County,2009,1629054.0
85,NY,New York,New York City,NY-600,36081,Queens County,2009,2306712.0
86,NY,New York,New York City,NY-600,36085,Richmond County,2009,491730.0
87,PA,Pennsylvania,Philadelphia,PA-500,42101,Philadelphia Count,2009,
88,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48201,Harris County,2009,4070989.0
89,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48339,Montgomery County,2009,447718.0
90,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48157,Fort Bend County,2009,556870.0
91,TX,Texas,Austin/Travis County,TX-503,48453,Travis County,2009,1026158.0
92,WA,Washington,Seattle/King,WA-500,53033,King County,2009,1916441.0
93,AZ,Arizona,"Phoenix,Mesa/Maricopa",AZ-502,4013,Maricopa County,2010,3825183.0
94,CA,California,Los Angeles City & County,CA-600,6037,Los Angeles County,2010,9821647.0
95,CA,California,San Diego City and County,CA-601,6073,San Diego County,2010,3103260.0
96,CA,California,San Jose/Santa Clara City & County,CA-500,6085,Santa Clara County,2010,1786001.0
97,CA,California,San Bernardino City & County,CA-609,6071,San Bernardino County,2010,2040803.0
98,CA,California,San Francisco,CA-501,6075,San Francisco County,2010,805519.0
99,CO,Colorado,Metropolitan Denver,CO-503,8001,Adams County,2010,443692.0
100,CO,Colorado,Metropolitan Denver,CO-503,8005,Arapahoe County,2010,575124.0
101,CO,Colorado,Metropolitan Denver,CO-503,8013,Boulder County,2010,295056.0
102,CO,Colorado,Metropolitan Denver,CO-503,8014,Broomfield County,2010,56212.0
103,CO,Colorado,Metropolitan Denver,CO-503,8031,Denver County,2010,603012.0
104,CO,Colorado,Metropolitan Denver,CO-503,8035,Douglas County,2010,287011.0
105,CO,Colorado,Metropolitan Denver,CO-503,8059,Jefferson County,2010,535567.0
106,DC,District of Columbia,District of Columbia,DC-500,11001,District of Columbia,2010,605282.0
107,FL,Florida,Tampa/Hillsborough County,FL-501,12057,Hillsborough County,2010,1233511.0
108,GA,Georgia,Atlanta,GA-500,5049,Fulton County,2010,925622.0
109,IL,Illinois,Chicago,IL-510,17031,Cook County,2010,5198977.0
110,MA,Massachusetts,Boston,MA-500,25025,Suffolk County,2010,725786.0
111,MI,Michigan,Detroit,MI-501,26163,Wayne County,2010,1814847.0
112,NV,Nevada,Las Vegas/Clark County,NV-500,32003,Clark County,2010,1952640.0
113,NY,New York,New York City,NY-600,36005,Bronx County,2010,1386929.0
114,NY,New York,New York City,NY-600,36047,Kings County,2010,2509954.0
115,NY,New York,New York City,NY-600,36061,New York County,2010,1589041.0
116,NY,New York,New York City,NY-600,36081,Queens County,2010,2234574.0
117,NY,New York,New York City,NY-600,36085,Richmond County,2010,469607.0
118,PA,Pennsylvania,Philadelphia,PA-500,42101,Philadelphia Count,2010,
119,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48201,Harris County,2010,4107542.0
120,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48339,Montgomery County,2010,459223.0
121,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48157,Fort Bend County,2010,590177.0
122,TX,Texas,Austin/Travis County,TX-503,48453,Travis County,2010,1030392.0
123,WA,Washington,Seattle/King,WA-500,53033,King County,2010,1938431.0
124,AZ,Arizona,"Phoenix,Mesa/Maricopa",AZ-502,4013,Maricopa County,2011,3875371.0
125,CA,California,Los Angeles City & County,CA-600,6037,Los Angeles County,2011,9873700.0
126,CA,California,San Diego City and County,CA-601,6073,San Diego County,2011,3137236.0
